split,group_type,group_key,calendar_year,season,season_year,n_samples_used,n_pixels_used,A,B,alpha,theta_rad,theta_deg
test,year_season,2021_SON,,SON,2021,232,243269632,0.024136399213802635,0.008735215181988927,0.02566845829580932,0.34724581523227793,19.89571966638912
test,year_season,2022_DJF,,DJF,2022,111,116391936,0.021436056565438233,0.00975303986604299,0.02355050546602538,0.42699000027629347,24.464724910121472
all,overall,all,,,,7456,7818182656,0.02120902341878326,0.008102854746773911,0.022704161059722363,0.36493495493409067,20.909232714520293
all,year,2014,2014,,,451,472907776,0.02213512750830012,0.006037153507607547,0.022943650369614748,0.26626468709354123,15.255842803831396
all,year,2015,2015,,,1449,1519386624,0.021346290035327658,0.0071177265801954095,0.02250169171290792,0.3218473789435978,18.440496460815833
all,year,2016,2016,,,442,463470592,0.019119279147605563,0.006823600889185232,0.020300452315624752,0.34280529916422026,19.641296836829387
all,year,2017,2017,,,1041,1091567616,0.021221742222843124,0.00887176959960967,0.02300153557485589,0.39597005156720555,22.687412768378447
all,year,2018,2018,,,696,729808896,0.021553043726703754,0.008949336262934086,0.023337187350498584,0.3935610473600027,22.549386994476464
all,year,2019,2019,,,1579,1655701504,0.020476118065190962,0.008030175731778518,0.02199443414373019,0.37374059805184356,21.413758901065954
all,year,2020,2020,,,1074,1126170624,0.02022646788703051,0.008200326178996116,0.02182556649040307,0.3851747780988572,22.068889159952533
all,year,2021,2021,,,724,759169024,0.024382905358577397,0.010754003389005616,0.026649102472993094,0.41538358132588166,23.799726089002217
all,season,DJF,,DJF,,2374,2489319424,0.02205793705337196,0.006813202945022547,0.02308619330726882,0.2995813629604981,17.164747718413384
all,season,MAM,,MAM,,3127,3278897152,0.020832424912511804,0.008377122141128134,0.022453643426019344,0.38233210705645265,21.9060161066787
all,season,JJA,,JJA,,384,402653184,0.01890040420553333,0.010510176779088836,0.021626120665996482,0.5075007867201292,29.077653178632342
all,season,SON,,SON,,1571,1647312896,0.020897208839544622,0.009314001743351459,0.02287889782657145,0.4192769160579144,24.02279773737939
all,year_season,2014_SON,,SON,2014,83,87031808,0.021984184723959646,0.010302878869437397,0.024278667405265065,0.43825422421336246,25.11011740120576
all,year_season,2015_DJF,,DJF,2015,774,811597824,0.022290523266738072,0.005679037554375567,0.023002584529765332,0.24946642166158114,14.293373091439577
all,year_season,2015_MAM,,MAM,2015,729,764411904,0.021217192236727446,0.0068938217507791295,0.022309057011486673,0.31415662625983687,17.999848790757422
all,year_season,2015_JJA,,JJA,2015,33,34603008,0.019611507898725542,0.0061894009760186785,0.020565017055760377,0.30570699104295,17.515720354404696
all,year_season,2015_SON,,SON,2015,194,203423744,0.018743308062046195,0.011172537119863693,0.021820567884532658,0.5375331874198077,30.79838298736966
all,year_season,2016_DJF,,DJF,2016,158,165675008,0.021952848965472654,0.004539734212350567,0.022417331786357627,0.20392036780954143,11.683776432242135
all,year_season,2016_MAM,,MAM,2016,74,77594624,0.020983337511761697,0.006783489256578749,0.02205257761865095,0.3126752555651896,17.91497250205977
all,year_season,2016_JJA,,JJA,2016,8,8388608,0.015099591718505632,0.006104796523436524,0.01628699513900973,0.3842095667394326,22.013586622719416
all,year_season,2016_SON,,SON,2016,225,235929600,0.017351731671572102,0.009137461024807402,0.01961060391681278,0.484702227978005,27.771391983727536
all,year_season,2017_DJF,,DJF,2017,141,147849216,0.020021146617975494,0.0059745668618073336,0.0208935818155882,0.2900000325271059,16.61577792245976
all,year_season,2017_MAM,,MAM,2017,508,532676608,0.02190994815411745,0.00976744875913135,0.02398851565600446,0.41935548534570743,24.02729942596928
all,year_season,2017_JJA,,JJA,2017,224,234881024,0.018126071648053348,0.011890381685777659,0.021677999216344668,0.5805691960219189,33.26416464735934
all,year_season,2017_SON,,SON,2017,193,202375168,0.02227360173887358,0.008184898990574676,0.023729852631397912,0.35215347347717807,20.17690777111448
all,year_season,2018_DJF,,DJF,2018,129,135266304,0.023663934945091395,0.008150070478538586,0.025028093532881483,0.33168525229463736,19.004165083214623
all,year_season,2018_MAM,,MAM,2018,320,335544320,0.021286552173514037,0.00783422621644927,0.022682424999241953,0.35265167132302017,20.20545240504374
all,year_season,2018_JJA,,JJA,2018,37,38797312,0.02134555753464063,0.00851468979661509,0.022981139414686002,0.379555595405344,21.74693370730127
all,year_season,2018_SON,,SON,2018,148,155189248,0.01964710266332706,0.009471371823834219,0.021810903862257383,0.4492048384811067,25.73754138182325
all,year_season,2019_DJF,,DJF,2019,364,381681664,0.023165899870792775,0.008669756748071297,0.024735068200721105,0.3581098964438613,20.518185668100223
all,year_season,2019_MAM,,MAM,2019,592,620756992,0.019531254364690318,0.007077941988131207,0.020774194565508077,0.34767024539170427,19.920037723222315
all,year_season,2019_JJA,,JJA,2019,53,55574528,0.019499709192935213,0.010456471415687958,0.02212637460308718,0.4922154735312591,28.20186924437443
all,year_season,2019_SON,,SON,2019,441,462422016,0.020617900021651658,0.009415682906506063,0.022666117574447857,0.4283911108626857,24.545002633352848
all,year_season,2020_DJF,,DJF,2020,603,632291328,0.021467205929586904,0.0074200320426802795,0.022713383850445825,0.3327898161158115,19.067451928370744
all,year_season,2020_MAM,,MAM,2020,561,588251136,0.01859721766565461,0.008557354211177502,0.020471561151980892,0.4312556365940049,24.709127868064062
all,year_season,2020_JJA,,JJA,2020,24,25165824,0.018326951072838167,0.010737931106701662,0.02124100515697116,0.5299942597637849,30.366434250625097
all,year_season,2020_SON,,SON,2020,55,57671680,0.020277339019736867,0.009345629611170884,0.02232736595638942,0.43187333615442686,24.744519445883327
all,year_season,2021_DJF,,DJF,2021,94,98566144,0.023010337477623856,0.009292656254875482,0.024815903995329635,0.3838183693084438,21.9911726609674
all,year_season,2021_MAM,,MAM,2021,343,359661568,0.02561182328975,0.012708963848168633,0.02859166407048456,0.46061480621614925,26.391284377421627
all,year_season,2021_JJA,,JJA,2021,5,5242880,0.01692189528582329,0.011910866098354095,0.020693459625623006,0.6133206019382639,35.1406819794857
all,year_season,2021_SON,,SON,2021,232,243269632,0.024136399213802635,0.008735215181988927,0.02566845829580932,0.34724581523227793,19.89571966638912
all,year_season,2022_DJF,,DJF,2022,111,116391936,0.021436056565438233,0.00975303986604299,0.02355050546602538,0.42699000027629347,24.464724910121472
